COUNTRY,PARTICIPANTS,CODE,,,,,,,
Argentina,400,ARG,,,,,,,
Australia,467700,AUS,,,,,,,
Austria,195600,AUT,,,,,,,
Belgium,300280,BEL,,,,,,,
Canada,656443,CAN,,,,,,,
Chile,32000,CHL,,,,,,,
China,1000,CHN,,,,,,,
Colombia,2500,COL,,,,,,,
Croatia,7000,HRV,,,,,,,
Cyprus,300,CYP,,,,,,,
Czech Republica,1000,CZE,,,,,,,
Denmark,10000,DNK,,,,,,,
Finland,4650,FIN,,,,,,,
France,597850,FRA,,,,,,,
Germany,2557000,DEU,,,,,,,
Greece,6800,GRC,,,,,,,
Iceland,2400,ISL,,,,,,,
India,17200,IND,,,,,,,
Ireland,25001,IRL,,,,,,,
Italy,1229000,ITA,,,,,,,
Japan,4130,JPN,,,,,,,
Latvia,700,LVA,,,,,,,
Luxembourg,16000,LUX,,,,,,,
Malta,500,MLT,,,,,,,
Mexico,1200,MEX,,,,,,,
Netherlands,79906,NLD,,,,,,,
New Zealand,215000,NZL,,,,,,,
Norway,53000,NOR,,,,,,,
Pakistan,3300,PAK,,,,,,,
Philippines,1060,PHL,,,,,,,
Poland,6500,POL,,,,,,,
Portugal,15400,PRT,,,,,,,
Russia,840,RUS,,,,,,,
Serbia,286,SRB,,,,,,,
Slovakia,6900,SVK,,,,,,,
Slovenia,11000,SVN,,,,,,,
South Africa,7000,ZAF,,,,,,,
South Korea,5100,KOR,,,,,,,
Spain,21000,ESP,,,,,,,
Sweden,162500,SWE,,,,,,,
Switzerland,237366,CHE,,,,,,,
Thailand,260,THA,,,,,,,
Ukraine,2700,UKR,,,,,,,
United Kingdom,431516,GBR,,,,,,,
United States,690513,USA,,,,,,,
Uruguay,700,URY,,,,,,,
Angola,50000,AGO,,,,,,,
Belarus,1,BLR,,,,,,,
Bangladesh,1000,BGD,,,,,,,
Brazil,9000,BRA,,,,,,,
Burundi,35,BDI,,,,,,,
Congo,4000,COG,,,,,,,
Ecuador,400,ECU,,,,,,,
El Salvador,72,SLV,,,,,,,
Georgia,100,GEO,,,,,,,
Guatemala,500,GTM,,,,,,,
Hong Kong,1000,HKG,,,,,,,
Hungary,72,HUN,,,,,,,
Indonesia,50,IFN,,,,,,,
Isle of Man,100,IMN,,,,,,,
Israel,600,ISR,,,,,,,
Lebanon,400,LBN,,,,,,,
Malaysia,1100,MYS,,,,,,,
Montenegro,72,MNE,,,,,,,
Morocco,100,MAR,,,,,,,
Myanmar,200,MMR,,,,,,,
Nepal,400,NPL,,,,,,,
Nigeria,300,NGA,,,,,,,
Papua New Guinea,800,PNG,,,,,,,
Peru,3000,PER,,,,,,,
Senegal,200,SEN,,,,,,,
Singapore,1700,SGP,,,,,,,
Taiwan,100,TWN,,,,,,,
Turkey,12000,TUR,,,,,,,
Uganda,500,UGA,,,,,,,
Vanuatu,300,VUT,,,,,,,
Vietnam,1400,VNM,,,,,,,
